title,release_year,country,duration,language,certification,gross,budget
The Lion of Judah,2011,USA,87,English,PG,,15000000
The Mechanic,2011,USA,93,English,R,29113588,40000000
The Muppets,2011,USA,103,English,PG,88625922,45000000
The Raid: Redemption,2011,Indonesia,102,Indonesian,R,4105123,1100000
The Ridges,2011,USA,143,English,,,17350
The Rite,2011,USA,114,English,PG-13,33037754,37000000
The Roommate,2011,USA,91,English,PG-13,37300107,16000000
The Sitter,2011,USA,87,English,R,30538669,
The Smurfs,2011,USA,103,English,PG,142614158,110000000
The Son of No One,2011,USA,90,English,R,28870,15000000
The Three Musketeers,2011,Germany,110,English,PG-13,20315324,75000000
The Tree of Life,2011,USA,139,English,PG-13,13303319,32000000
There Be Dragons,2011,Spain,102,English,PG-13,1068392,36000000
Thor,2011,USA,115,English,PG-13,181015141,150000000
Tinker Tailor Soldier Spy,2011,France,127,English,R,24104113,20000000
Tower Heist,2011,USA,104,English,PG-13,78009155,75000000
Transformers: Dark of the Moon,2011,USA,154,English,PG-13,352358779,195000000
Twixt,2011,USA,88,English,R,,7000000
Unknown,2011,UK,113,English,PG-13,61094903,30000000
Unknown,2011,UK,113,English,PG-13,61094903,30000000
War Horse,2011,USA,146,English,PG-13,79883359,66000000
Warrior,2011,USA,140,English,PG-13,13651662,25000000
Water for Elephants,2011,USA,120,English,PG-13,58700247,38000000
We Bought a Zoo,2011,USA,124,English,PG,75621915,
We Need to Talk About Kevin,2011,UK,112,English,R,1738692,7000000
Weekend,2011,UK,97,English,Not Rated,469947,120000
What's Your Number?,2011,USA,117,English,R,13987482,20000000
Winnie Mandela,2011,South Africa,104,English,R,,15000000
Winnie the Pooh,2011,USA,63,English,G,26687172,30000000
Without Men,2011,USA,87,English,R,,4700000
X-Men: First Class,2011,USA,132,English,PG-13,146405371,160000000
You Got Served: Beat the World,2011,Canada,91,English,PG-13,,10000000
Young Adult,2011,USA,94,English,R,16300302,12000000
Your Highness,2011,USA,102,English,R,21557240,49900000
Your Sister's Sister,2011,USA,90,English,R,1573712,125000
Zookeeper,2011,USA,102,English,PG,80360866,80000000
2016: Obama's America,2012,USA,87,English,PG,33349949,2500000
21 Jump Street,2012,USA,109,English,R,138447667,42000000
A Perfect Plan,2012,France,104,French,,,17000000
A Thousand Words,2012,USA,91,English,PG-13,18438149,40000000
Abraham Lincoln: Vampire Hunter,2012,USA,105,English,R,37516013,69000000
Act of Valor,2012,USA,110,English,R,70011073,12000000
After,2012,USA,90,English,PG-13,,650000
Alex Cross,2012,USA,101,English,PG-13,25863915,35000000
Alien Uprising,2012,UK,101,English,R,,2500000
American Reunion,2012,USA,113,English,R,56724080,50000000
Amour,2012,France,127,French,PG-13,225377,8900000
Anna Karenina,2012,UK,129,English,R,12802907,
Antiviral,2012,Canada,108,English,Not Rated,,3200000
Arbitrage,2012,USA,107,English,R,7918283,12000000
Archaeology of a Woman,2012,USA,94,English,,,200000
Argo,2012,USA,130,English,R,136019448,44500000
Atlas Shrugged II: The Strike,2012,USA,111,English,PG-13,3333823,10000000
Bachelorette,2012,USA,87,English,R,418268,3000000
Bait,2012,Australia,93,English,R,,30000000
Battleship,2012,USA,131,English,PG-13,65173160,209000000
Beasts of the Southern Wild,2012,USA,93,English,PG-13,12784397,1800000
Big Miracle,2012,USA,107,English,PG,20113965,40000000
Black November,2012,Nigeria,95,English,,,7500000
Black Rock,2012,USA,83,English,R,,
Blue Like Jazz,2012,USA,108,English,PG-13,594904,1200000
Brave,2012,USA,93,English,PG,237282182,185000000
Bullet to the Head,2012,USA,92,English,R,9483821,55000000
Burn,2012,USA,86,English,Not Rated,111300,225000
Casa de mi Padre,2012,USA,84,Spanish,R,5895238,6000000
Celeste & Jesse Forever,2012,USA,92,English,R,3094687,
Chasing Mavericks,2012,USA,116,English,PG,6002756,20000000
Chernobyl Diaries,2012,USA,86,English,R,18112929,1000000
Chronicle,2012,USA,89,English,PG-13,64572496,12000000
Cirque du Soleil: Worlds Away,2012,USA,91,English,PG,12495865,
Cloud Atlas,2012,Germany,172,English,R,27098580,102000000
Compliance,2012,USA,90,English,R,318622,270000
Contraband,2012,USA,109,English,R,66489425,25000000
Crowsnest,2012,Canada,84,English,R,,1200000
Dark Shadows,2012,USA,113,English,PG-13,79711678,100000000
Darling Companion,2012,USA,103,English,PG-13,793352,
Day One,2012,USA,102,English,PG-13,,3400000
Deadfall,2012,USA,95,English,R,65804,12000000
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,2012,USA,88,English,,151389,500000
Detention of the Dead,2012,USA,87,English,Not Rated,1332,500000
Diary of a Wimpy Kid: Dog Days,2012,USA,94,English,PG,49002815,22000000
Django Unchained,2012,USA,165,English,R,162804648,100000000
Dredd,2012,UK,95,English,R,13401683,35000000
Dredd,2012,UK,95,English,R,13401683,35000000
Dysfunctional Friends,2012,USA,111,English,Not Rated,,1800000
Eddie: The Sleepwalking Cannibal,2012,Canada,83,English,Not Rated,1521,1500000
End of Watch,2012,USA,109,English,R,40983001,7000000
Ernest & Celestine,2012,France,80,French,PG,71442,9600000
Filly Brown,2012,USA,80,English,R,2833383,427000
Flight,2012,USA,138,English,R,93749203,31000000
Foodfight!,2012,USA,91,English,PG,,65000000
"For a Good Time, Call...",2012,USA,88,English,R,1243961,850000
For Greater Glory: The True Story of Cristiada,2012,Mexico,145,Spanish,R,5669081,10818775
Frances Ha,2012,USA,86,English,R,4063238,
Frankenweenie,2012,USA,87,English,PG,35287788,39000000
Freaky Deaky,2012,USA,90,English,R,,6000000
Fun Size,2012,USA,86,English,PG-13,9402410,14000000
Girls Gone Dead,2012,USA,104,English,R,,500000
Good Deeds,2012,USA,110,English,PG-13,35010192,
Grabbers,2012,UK,94,English,Not Rated,,4000000
Hardflip,2012,USA,112,English,PG-13,96734,1000000
Hayride,2012,USA,93,English,Not Rated,,60000
Here Comes the Boom,2012,USA,105,English,PG,45290318,42000000
Hit and Run,2012,USA,100,English,R,13746550,2000000
Holy Motors,2012,France,115,French,Not Rated,,
Hope Springs,2012,USA,100,English,PG-13,63536011,30000000
Hotel Transylvania,2012,USA,91,English,PG,148313048,85000000
House at the End of the Street,2012,Canada,101,English,PG-13,31607598,6900000
Ice Age: Continental Drift,2012,USA,88,English,PG,161317423,95000000
Indie Game: The Movie,2012,Canada,103,English,Not Rated,,100000
Inescapable,2012,Canada,93,English,R,4063,4000000
Jab Tak Hai Jaan,2012,India,176,Hindi,Not Rated,3047539,7217600
Jack Reacher,2012,USA,130,English,PG-13,80033643,60000000
Jack Reacher,2012,USA,130,English,PG-13,80033643,60000000
John Carter,2012,USA,132,English,PG-13,73058679,263700000
Journey 2: The Mysterious Island,2012,USA,94,English,PG,103812241,79000000
Joyful Noise,2012,USA,118,English,PG-13,30920167,25000000
Katy Perry: Part of Me,2012,USA,93,English,PG,25240988,12000000
Khiladi 786,2012,India,141,Hindi,Not Rated,352684,
Killing Them Softly,2012,USA,97,English,R,14938570,15000000
Les MisÃ©rables,2012,USA,158,English,PG-13,148775460,61000000
Life of Pi,2012,USA,127,English,PG,124976634,120000000
Lincoln,2012,USA,150,English,PG-13,182204440,65000000
Lockout,2012,France,95,English,PG-13,14291570,20000000
LOL,2012,USA,97,English,PG-13,,11000000
Looper,2012,USA,119,English,R,66468315,30000000
Madagascar 3: Europe's Most Wanted,2012,USA,93,English,PG,216366733,145000000
Madea's Witness Protection,2012,USA,114,English,PG-13,65623128,20000000
Magic Mike,2012,USA,110,English,R,113709992,7000000
Man on a Ledge,2012,USA,102,English,PG-13,18600911,42000000
Maniac,2012,France,89,English,Not Rated,12843,6000000
Men in Black 3,2012,USA,106,English,PG-13,179020854,225000000
Middle of Nowhere,2012,USA,97,English,R,78030,200000
Mirror Mirror,2012,USA,106,English,PG,64933670,85000000
Moonrise Kingdom,2012,USA,94,English,PG-13,45507053,16000000
Mud,2012,USA,130,English,PG-13,21589307,10000000
No Vacancy,2012,USA,81,English,R,,4000000
Now Is Good,2012,UK,103,English,PG-13,,
On the Road,2012,France,137,English,R,717753,25000000
One for the Money,2012,USA,91,English,PG-13,26404753,40000000
Outside Bet,2012,UK,101,English,,,7500000
Paranormal Activity 4,2012,USA,96,English,R,53884821,5000000
ParaNorman,2012,USA,92,English,PG,55994557,60000000
Parental Guidance,2012,USA,105,English,PG,77264926,25000000
Pitch Perfect,2012,USA,112,English,PG-13,64998368,17000000
Playing for Keeps,2012,USA,105,English,PG-13,13101142,35000000
Premium Rush,2012,USA,91,English,PG-13,20275446,35000000
Project X,2012,USA,93,English,R,54724272,12000000
Prometheus,2012,USA,124,English,R,126464904,130000000
Promised Land,2012,USA,106,English,R,7556708,15000000
Quartet,2012,UK,98,English,PG-13,18381787,11000000
Red Lights,2012,Spain,114,English,R,,14000000
Red Tails,2012,USA,125,English,PG-13,49875589,58000000
Resident Evil: Retribution,2012,Germany,96,English,R,42345531,65000000
Restless,2012,UK,180,English,,,
Rise of the Guardians,2012,USA,97,English,PG,103400692,145000000
Robot & Frank,2012,USA,89,English,PG-13,3325638,2500000
Rock of Ages,2012,USA,136,English,PG-13,38509342,75000000
"Run, Hide, Die",2012,USA,75,English,,,50000
Safe,2012,USA,94,English,R,17120019,30000000
Safe House,2012,USA,115,English,R,126149655,85000000
Safety Not Guaranteed,2012,USA,86,English,R,4007792,750000
Sanctuary;  Quite a Conundrum,2012,USA,82,English,,,200000
Savages,2012,USA,141,English,R,47307550,45000000
Seeking a Friend for the End of the World,2012,USA,101,English,R,6619173,10000000
Seven Psychopaths,2012,UK,110,English,R,14989761,15000000
Shanghai Calling,2012,USA,100,English,PG-13,10443,
Should've Been Romeo,2012,USA,,English,,,5000000
Silent Hill: Revelation 3D,2012,France,95,English,R,17529157,20000000
Silver Linings Playbook,2012,USA,122,English,R,132088910,21000000
Sinister,2012,USA,110,English,R,48056940,3000000
Skyfall,2012,UK,143,English,PG-13,304360277,200000000
Skyfall,2012,UK,143,English,PG-13,304360277,200000000
Small Apartments,2012,USA,96,English,R,,2000000
Snow Queen,2012,Russia,80,Russian,PG,,7000000
Snow White and the Huntsman,2012,USA,132,English,PG-13,155111815,170000000
Snow White: A Deadly Summer,2012,USA,83,English,PG-13,,1000000
Sparkle,2012,USA,116,English,PG-13,24397469,17000000
Spring Breakers,2012,USA,94,English,R,14123773,5000000
Step Up Revolution,2012,USA,99,English,PG-13,35057332,33000000
Stitches,2012,Ireland,86,English,R,,
Stolen,2012,USA,96,English,R,183125,35000000
Supercapitalist,2012,USA,102,English,Not Rated,13220,
Supporting Characters,2012,USA,87,English,Not Rated,,
Taken 2,2012,France,98,English,PG-13,139852971,45000000
Ted,2012,USA,112,English,R,218628680,50000000
That's My Boy,2012,USA,116,English,R,36931089,70000000
The Act of Killing,2012,UK,96,Indonesian,Not Rated,484221,1000000
The Amazing Spider-Man,2012,USA,153,English,PG-13,262030663,230000000
The Apparition,2012,USA,83,English,PG-13,4930798,17000000
The Avengers,2012,USA,173,English,PG-13,623279547,220000000
The Avengers,2012,USA,173,English,PG-13,623279547,220000000
The Bourne Legacy,2012,USA,135,English,PG-13,113165635,125000000
The Brass Teapot,2012,USA,101,English,R,6643,900000
The Cabin in the Woods,2012,USA,95,English,R,42043633,30000000
The Campaign,2012,USA,85,English,R,86897182,95000000
The Cold Light of Day,2012,USA,93,English,PG-13,3749061,20000000
The Collection,2012,USA,82,English,R,6842058,10000000
The Dark Knight Rises,2012,USA,164,English,PG-13,448130642,250000000
The Devil Inside,2012,USA,83,English,R,53245055,1000000
The Dictator,2012,USA,99,English,R,59617068,65000000
The Expendables 2,2012,USA,103,English,R,85017401,92000000
The Five-Year Engagement,2012,USA,131,English,R,28644770,30000000
The Frozen,2012,USA,95,English,PG-13,,250000
The Gatekeepers,2012,Israel,101,Hebrew,PG-13,2408553,
The Ghastly Love of Johnny X,2012,USA,106,English,Not Rated,2436,2000000
The Guilt Trip,2012,USA,95,English,PG-13,37101011,40000000
The Hobbit: An Unexpected Journey,2012,USA,182,English,PG-13,303001229,180000000
The Hunger Games,2012,USA,142,English,PG-13,407999255,78000000
The Hunt,2012,Denmark,115,Danish,R,610968,3800000
The Iceman,2012,USA,106,English,R,1939441,10000000
The Impossible,2012,Spain,114,English,PG-13,18996755,45000000
The King of Najayo,2012,Dominican Republic,101,Spanish,R,,500000
The Lords of Salem,2012,USA,101,English,R,1163508,2500000
The Lucky One,2012,USA,101,English,PG-13,60443237,25000000
The Man with the Iron Fists,2012,USA,107,English,R,15608545,15000000
The Master,2012,USA,144,English,R,16377274,32000000
The Odd Life of Timothy Green,2012,USA,105,English,PG,51853450,25000000
The Oogieloves in the Big Balloon Adventure,2012,USA,88,English,G,1064277,20000000
The Other Dream Team,2012,USA,89,English,Not Rated,133778,500000
The Perks of Being a Wallflower,2012,USA,102,English,PG-13,17738570,13000000
The Pirates! Band of Misfits,2012,UK,88,English,PG,31051126,55000000
The Place Beyond the Pines,2012,USA,140,English,R,21383298,15000000
The Possession,2012,USA,92,English,PG-13,49122319,14000000
The Possession,2012,USA,92,English,PG-13,49122319,14000000
The Raven,2012,USA,110,English,R,16005978,26000000
The Sessions,2012,USA,95,English,R,5997134,1000000
The Sweeney,2012,UK,112,English,R,26345,3000000
The Three Stooges,2012,USA,92,English,PG,44328238,
The Twilight Saga: Breaking Dawn - Part 2,2012,USA,115,English,PG-13,292298923,120000000
The Twilight Saga: Breaking Dawn - Part 2,2012,USA,115,English,PG-13,292298923,120000000
The Vow,2012,USA,104,English,PG-13,125014030,30000000
The Watch,2012,USA,102,English,R,34350553,68000000
The Watch,2012,USA,102,English,R,34350553,68000000
The Woman in Black,2012,UK,95,English,PG-13,54322273,17000000
The Words,2012,USA,102,English,PG-13,11434867,6000000
Theresa Is a Mother,2012,USA,105,English,,,200000
Think Like a Man,2012,USA,122,English,PG-13,91547205,12000000
This Is 40,2012,USA,134,English,R,67523385,35000000
This Means War,2012,USA,103,English,PG-13,54758461,65000000
Tim and Eric's Billion Dollar Movie,2012,USA,93,English,R,200803,3000000
To Rome with Love,2012,USA,112,English,R,16684352,17000000
Trade of Innocents,2012,USA,88,English,PG-13,15059,
Trouble with the Curve,2012,USA,111,English,PG-13,35754555,
Truth or Die,2012,UK,96,English,Not Rated,,1000000
Underworld: Awakening,2012,USA,88,English,R,62321039,70000000
Vamps,2012,USA,92,English,PG-13,2964,16000000
Vessel,2012,USA,14,English,,,
Wanderlust,2012,USA,98,English,R,17225675,
What to Expect When You're Expecting,2012,USA,110,English,PG-13,41102171,40000000
When the Lights Went Out,2012,UK,86,English,,,
Won't Back Down,2012,USA,121,English,PG,5308553,
Wrath of the Titans,2012,USA,99,English,PG-13,83640426,150000000
Wreck-It Ralph,2012,USA,101,English,PG,189412677,165000000
Zambezia,2012,South Africa,83,English,G,,20000000
Zero Dark Thirty,2012,USA,157,English,R,95720716,40000000
12 Years a Slave,2013,USA,134,English,R,56667870,20000000
1982,2013,USA,90,English,R,,1000000
2 Guns,2013,USA,109,English,R,75573300,61000000
20 Feet from Stardom,2013,USA,91,English,PG-13,4946250,1000000
21 & Over,2013,USA,93,English,R,25675765,13000000
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,2013,USA,80,English,R,,3000000
42,2013,USA,128,English,PG-13,95001343,40000000
47 Ronin,2013,USA,128,English,PG-13,38297305,175000000
A Good Day to Die Hard,2013,USA,101,English,R,67344392,92000000
A Haunted House,2013,USA,86,English,R,40041683,2500000
A Madea Christmas,2013,USA,100,English,PG-13,52528330,25000000
A Plague So Pleasant,2013,USA,76,English,,,1400
A True Story,2013,USA,96,English,,,45000
ABCD (Any Body Can Dance),2013,India,160,Hindi,Not Rated,95236,
About Time,2013,UK,123,English,R,15294553,12000000
Admission,2013,USA,107,English,PG-13,18004225,13000000
Adore,2013,Australia,112,English,R,317125,16000000
After Earth,2013,USA,100,English,PG-13,60522097,130000000
Against the Wild,2013,Canada,90,English,PG,,2000000
All Is Bright,2013,USA,107,English,R,4556,
All Is Lost,2013,USA,106,English,PG-13,6262942,9000000
Along the Roadside,2013,USA,108,English,,,250000
American Hustle,2013,USA,138,English,R,150117807,40000000
Anchorman 2: The Legend Continues,2013,USA,143,English,PG-13,2175312,50000000
Antarctica: A Year on Ice,2013,New Zealand,91,English,PG,287761,1000000
Aroused,2013,USA,66,English,,,150000
August: Osage County,2013,USA,121,English,R,37738400,25000000
Bad Grandpa,2013,USA,102,English,R,101978840,15000000
Bad Words,2013,USA,89,English,R,7764027,10000000
Baggage Claim,2013,USA,96,English,PG-13,21564616,8500000
Banshee Chapter,2013,Germany,87,English,R,,950000
Barfi,2013,India,,Kannada,,,
"Batman: The Dark Knight Returns, Part 2",2013,USA,148,English,PG-13,,3500000
Battle of the Year,2013,USA,110,English,PG-13,8888355,20000000
Beautiful Creatures,2013,USA,124,English,PG-13,19445217,60000000
Before Midnight,2013,USA,109,English,R,8114507,3000000
Begin Again,2013,USA,104,English,R,16168741,8000000
Bending Steel,2013,USA,92,English,,,50000
Black Nativity,2013,USA,93,English,PG,7017178,17500000
Blood Ties,2013,France,144,English,R,41229,25500000
Blue Jasmine,2013,USA,98,English,PG-13,33404871,18000000
Blue Ruin,2013,USA,90,English,R,258113,1066167
Broken City,2013,USA,109,English,R,19692608,35000000
"Buen DÃ­a, RamÃ³n",2013,Mexico,120,German,PG-13,100412,4000000
Captain Phillips,2013,USA,134,English,PG-13,107100855,55000000
Carrie,2013,USA,100,English,R,35266619,30000000
Carrie,2013,USA,100,English,R,35266619,30000000
Cheap Thrills,2013,USA,88,English,Not Rated,59379,200000
"Cinco de Mayo, La Batalla",2013,Mexico,125,Spanish,R,169379,10000000
Cloudy with a Chance of Meatballs 2,2013,USA,95,English,PG,119793567,78000000
Coffee Town,2013,USA,87,English,,,2000000
Dallas Buyers Club,2013,USA,117,English,R,27296514,5000000
Dead Man Down,2013,USA,118,English,R,10880926,30000000
Delivery Man,2013,USA,105,English,PG-13,30659817,26000000
Despicable Me 2,2013,USA,98,English,PG,368049635,76000000
Dom Hemingway,2013,UK,93,English,R,518134,
Don Jon,2013,USA,90,English,R,24475193,3000000
Drinking Buddies,2013,USA,90,English,R,342936,
Dry Spell,2013,USA,90,English,,,22000
Echo Dr.,2013,USA,81,English,,,100000
Elysium,2013,USA,109,English,R,93050117,115000000
Ender's Game,2013,USA,114,English,PG-13,61656849,110000000
Enough Said,2013,USA,93,English,PG-13,17536788,8000000
Enter the Dangerous Mind,2013,USA,88,English,,,800000
Epic,2013,USA,102,English,PG,107515297,100000000
Escape from Planet Earth,2013,USA,89,English,PG,57011847,40000000
Escape from Tomorrow,2013,USA,90,English,Not Rated,169719,
Escape Plan,2013,USA,115,English,R,25121291,50000000
Evil Dead,2013,USA,96,English,R,54239856,17000000
Faith Connections,2013,India,115,Hindi,,,550000
Firestorm,2013,China,118,Mandarin,,,
Free Birds,2013,USA,91,English,PG,55747724,55000000
Frozen,2013,USA,102,English,PG,400736600,150000000
Fruitvale Station,2013,USA,85,English,R,16097842,900000
G.I. Joe: Retaliation,2013,USA,122,English,PG-13,122512052,130000000
Gangster Squad,2013,USA,113,English,R,45996718,60000000
Getaway,2013,USA,90,English,PG-13,10494494,18000000
Grace Unplugged,2013,USA,102,English,PG,2507106,
Gravity,2013,UK,91,English,PG-13,274084951,100000000
Green Street 3: Never Back Down,2013,UK,93,English,R,,
Grown Ups 2,2013,USA,101,English,PG-13,133668525,80000000
Grudge Match,2013,USA,113,English,PG-13,29802761,40000000
Hansel & Gretel Get Baked,2013,USA,86,English,,,4500000
Hansel & Gretel: Witch Hunters,2013,Germany,98,English,R,55682070,50000000
Hard to Be a God,2013,Russia,177,Russian,Not Rated,,7000000
Harlock: Space Pirate,2013,Japan,115,Japanese,Not Rated,,30000000
Heli,2013,Mexico,105,Spanish,Not Rated,,1000000
Her,2013,USA,126,English,R,25556065,23000000
Her Cry: La Llorona Investigation,2013,USA,89,English,Not Rated,,60000
Home Run,2013,USA,113,English,PG-13,2859955,1200000
Homefront,2013,USA,100,English,R,19783777,22000000
Ida,2013,Poland,82,Polish,PG-13,3826455,
Identity Thief,2013,USA,120,English,R,134455175,35000000
Independence Daysaster,2013,Canada,90,English,PG-13,,1800000
Inside Llewyn Davis,2013,USA,104,English,R,13214255,11000000
Insidious: Chapter 2,2013,USA,106,English,PG-13,83574831,5000000
Instructions Not Included,2013,Mexico,115,Spanish,PG-13,44456509,5000000
Iron Man 3,2013,USA,195,English,PG-13,408992272,200000000
Jack the Giant Slayer,2013,USA,114,English,PG-13,65171860,195000000
Joe,2013,USA,117,English,R,371897,4000000
Kevin Hart: Let Me Explain,2013,USA,75,English,R,32230907,2500000
Khumba,2013,South Africa,85,English,Not Rated,,20000000
Kick-Ass 2,2013,USA,103,English,R,28751715,28000000
Labor Day,2013,USA,111,English,PG-13,13362308,18000000
Last Vegas,2013,USA,105,English,PG-13,63910583,28000000
Lee Daniels' The Butler,2013,USA,132,English,PG-13,116631310,30000000
Legends of Oz: Dorothy's Return,2013,USA,88,English,PG,8460990,70000000
Living Dark: The Story of Ted the Caver,2013,USA,112,English,PG-13,,1750000
Lone Survivor,2013,USA,121,English,R,125069696,40000000
Machete Kills,2013,Russia,107,English,R,7268659,20000000
Mama,2013,Canada,100,English,PG-13,71588220,20000000
Man of Steel,2013,USA,143,English,PG-13,291021565,225000000
Mandela: Long Walk to Freedom,2013,UK,141,English,PG-13,8324748,35000000
Metallica Through the Never,2013,USA,93,English,R,3419967,
Monsters University,2013,USA,104,English,G,268488329,200000000
Movie 43,2013,USA,94,English,R,8828771,6000000
Mutual Friends,2013,USA,86,English,,,450000
My Lucky Star,2013,China,114,Chinese,,50000,
Nebraska,2013,USA,115,English,R,17613460,12000000
Now You See Me,2013,USA,125,English,PG-13,117698894,75000000
Nurse 3D,2013,USA,84,English,R,,10000000
Oblivion,2013,USA,124,English,PG-13,89021735,120000000
Oculus,2013,USA,104,English,R,27689474,5000000
Of Horses and Men,2013,Iceland,81,Icelandic,,11835,10000000
Olympus Has Fallen,2013,USA,119,English,R,98895417,70000000
Once Upon a Time in Queens,2013,USA,98,English,R,,1500000
One Direction: This Is Us,2013,USA,106,English,PG,28873374,10000000
Only God Forgives,2013,Denmark,90,English,R,778565,4800000
Open Road,2013,Brazil,85,English,,,3000000
Out of Inferno,2013,China,107,Chinese,PG-13,,
Out of the Furnace,2013,USA,116,English,R,11326836,22000000
Oz the Great and Powerful,2013,USA,130,English,PG,234903076,215000000
Oz the Great and Powerful,2013,USA,130,English,PG,234903076,215000000
Pacific Rim,2013,USA,131,English,PG-13,101785482,190000000
Pain & Gain,2013,USA,129,English,R,49874933,26000000
Palo Alto,2013,USA,100,English,R,750100,
Parker,2013,USA,118,English,R,17609982,35000000
Peeples,2013,USA,95,English,PG-13,9123834,15000000
Percy Jackson: Sea of Monsters,2013,USA,106,English,PG,68558662,90000000
Philomena,2013,UK,98,English,PG-13,37707719,12000000
Plush,2013,USA,99,English,R,2843,
Prisoners,2013,USA,153,English,R,60962878,46000000
R.I.P.D.,2013,USA,96,English,PG-13,33592415,130000000
R100,2013,Japan,99,Japanese,Unrated,22770,5500000
RED 2,2013,USA,116,English,PG-13,53215979,84000000
Riddick,2013,USA,127,English,R,41997790,38000000
Roadside,2013,USA,81,English,,,
Runner Runner,2013,USA,88,English,R,19316646,30000000
Rush,2013,UK,123,English,R,26903709,38000000
Safe Haven,2013,USA,115,English,PG-13,71346930,28000000
Saving Mr. Banks,2013,USA,125,English,PG-13,83299761,35000000
Scary Movie 5,2013,USA,88,English,PG-13,32014289,20000000
Side Effects,2013,USA,106,English,R,32154410,30000000
Side Effects,2013,USA,106,English,R,32154410,30000000
Signed Sealed Delivered,2013,Canada,87,English,,,
Snitch,2013,USA,112,English,PG-13,42919096,15000000
Snitch,2013,USA,112,English,PG-13,42919096,15000000
Snowpiercer,2013,South Korea,126,English,R,4563029,39200000
Star Trek Into Darkness,2013,USA,132,English,PG-13,228756232,190000000
Stoker,2013,UK,99,English,R,1702277,12000000
Straight A's,2013,USA,91,English,R,,2000000
Texas Chainsaw 3D,2013,USA,92,English,R,34334256,11000000
The Adventurer: The Curse of the Midas Box,2013,UK,100,English,PG,4756,25000000
The Amazing Catfish,2013,Mexico,89,Spanish,,11278,1300000
The Best Man Holiday,2013,USA,123,English,R,70492685,17000000
The Best Offer,2013,Italy,131,English,R,85433,13500000
The Big Wedding,2013,USA,89,English,R,21784432,35000000
The Book Thief,2013,USA,131,English,PG-13,21483154,19000000
The Brain That Sings,2013,United Arab Emirates,62,Arabic,,,125000
The Call,2013,USA,94,English,R,51872378,13000000
The Canyons,2013,USA,99,English,R,49494,250000
The Christmas Candle,2013,UK,100,English,PG,2209479,
The Conjuring,2013,USA,112,English,R,137387272,20000000
The Counselor,2013,USA,138,English,R,16969390,25000000
The Croods,2013,USA,98,English,PG,187165546,135000000
The Dirties,2013,Canada,83,English,Not Rated,,
The East,2013,UK,116,English,PG-13,2268296,6500000
The Fifth Estate,2013,USA,128,English,R,3254172,28000000
The Frozen Ground,2013,USA,105,English,R,,27220000
The Geographer Drank His Globe Away,2013,Russia,120,Russian,,,4000000
The Grandmaster,2013,Hong Kong,122,Mandarin,PG-13,6594136,38600000
The Great Beauty,2013,Italy,172,Italian,Not Rated,2835886,9200000
The Great Gatsby,2013,Australia,143,English,PG-13,144812796,105000000
The Great Gatsby,2013,Australia,143,English,PG-13,144812796,105000000
The Green Inferno,2013,USA,100,English,R,7186670,6000000
The Haunting in Connecticut 2: Ghosts of Georgia,2013,USA,101,English,R,,9000000
The Heat,2013,USA,123,English,R,159578352,43000000
The Hobbit: The Desolation of Smaug,2013,USA,186,English,PG-13,258355354,225000000
The Host,2013,USA,125,English,PG-13,26616999,40000000
The Hunger Games: Catching Fire,2013,USA,146,English,PG-13,424645577,130000000
The Immigrant,2013,USA,120,English,R,1984743,16000000
The Incredible Burt Wonderstone,2013,USA,100,English,PG-13,22525921,30000000
The Internship,2013,USA,125,English,PG-13,44665963,58000000
The Knife of Don Juan,2013,USA,110,Spanish,,3830,1200000
The Last Days on Mars,2013,UK,98,English,R,23838,7000000
The Last Exorcism Part II,2013,France,93,English,PG-13,15152879,5000000
The Last Stand,2013,USA,107,English,R,12026670,45000000
The Lone Ranger,2013,USA,150,English,PG-13,89289910,215000000
The Lost Medallion: The Adventures of Billy Stone,2013,Thailand,97,English,PG,549632,
The Lunchbox,2013,India,104,Hindi,PG,4231500,1000000
The Maid's Room,2013,USA,98,English,,,600000
The Mortal Instruments: City of Bones,2013,USA,130,English,PG-13,31165421,60000000
The Purge,2013,USA,85,English,R,64423650,3000000
The Railway Man,2013,Australia,116,English,R,4435083,18000000
The Secret Life of Walter Mitty,2013,USA,114,English,PG,58229120,90000000
The Smurfs 2,2013,USA,105,English,PG,71017784,105000000
The Spectacular Now,2013,USA,95,English,R,6851969,2500000
The Square,2013,Egypt,108,Arabic,Not Rated,,1500000
The To Do List,2013,USA,104,English,R,3447339,1500000
The Vatican Exorcisms,2013,Italy,76,English,R,,1100000
The Way Way Back,2013,USA,103,English,PG-13,21501098,5000000
The Wolf of Wall Street,2013,USA,240,English,R,116866727,100000000
The Wolverine,2013,USA,138,English,PG-13,132550960,120000000
The World's End,2013,UK,109,English,R,26003149,20000000
The Young and Prodigious T.S. Spivet,2013,France,105,English,PG,99462,33000000
This Is Martin Bonner,2013,USA,83,English,R,,42000
This Is the End,2013,USA,107,English,R,101470202,32000000
Thor: The Dark World,2013,USA,112,English,PG-13,206360018,170000000
Thunder and the House of Magic,2013,Belgium,85,English,,4091,34000000
Trance,2013,UK,101,English,R,2319187,20000000
Trance,2013,UK,101,English,R,2319187,20000000
Treachery,2013,USA,67,English,,,625000
Treading Water,2013,Mexico,92,English,,,4700000
